ad,ed,foldenauer,morales,stringer,mcguire,wiley,prince,chang,garcia,adams,wright jr,donovan,yang,taylor,writein
26,58,0,5,8,2,15,0,7,33,19,0,3,46,0,0
26,59,0,0,7,2,11,0,5,34,13,0,4,39,0,0
26,60,0,3,5,5,19,0,0,36,21,0,7,38,0,1
26,61,0,3,11,5,24,0,2,33,24,0,6,39,0,0
26,62,0,2,4,4,12,1,6,36,28,0,5,47,0,0
26,63,0,3,13,1,12,2,1,40,33,1,4,50,0,0
26,64,2,4,14,5,16,0,2,34,24,0,7,32,0,0
26,65,0,3,10,0,11,0,5,26,26,0,2,30,0,0
26,66,0,3,10,4,19,0,4,42,26,0,8,30,0,1
26,67,1,1,8,4,14,1,6,33,23,0,3,59,0,0
26,68,1,3,6,5,10,0,0,45,10,1,0,39,0,0
26,69,1,4,7,2,13,0,4,39,19,2,1,20,0,1
26,70,1,0,8,1,29,2,4,25,21,0,4,35,0,0
26,71,0,0,2,0,0,0,0,0,0,0,0,3,0,0
26,72,0,7,16,2,10,0,1,36,36,0,7,17,0,1
26,73,0,0,0,0,2,0,0,1,1,0,0,0,0,0
26,74,3,5,8,5,24,1,2,21,20,1,9,28,0,0
26,75,2,6,18,2,13,1,2,32,30,0,13,37,0,0
26,76,2,2,13,6,13,1,2,21,40,0,4,26,1,1
26,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,79,1,0,4,3,11,0,1,18,10,2,1,28,0,1
26,80,0,2,5,0,9,0,0,14,25,0,5,37,0,1
26,81,0,1,16,7,7,1,3,21,12,0,3,31,0,2
26,82,2,2,2,0,15,0,3,17,13,0,3,26,0,1
26,83,2,2,14,7,10,1,6,25,19,0,3,50,1,0
26,84,0,0,0,2,2,0,0,1,1,0,0,0,0,0
26,85,0,1,19,3,3,0,2,16,14,0,6,27,0,0
27,1,0,1,6,10,4,1,1,23,81,0,0,157,0,2
27,2,2,6,3,4,10,0,2,4,31,0,8,8,0,0
27,3,2,3,6,1,26,0,0,24,37,0,3,23,0,0
27,4,0,3,5,3,20,1,1,40,20,0,1,15,0,0
27,5,1,0,8,2,26,0,2,19,58,0,3,28,0,0
27,6,3,5,20,9,54,3,3,43,51,0,14,54,0,0
27,7,2,9,17,1,64,1,1,63,38,0,10,37,0,0
27,8,4,12,18,7,29,0,1,31,37,0,7,25,0,0
27,9,4,1,6,3,22,0,2,20,41,0,6,21,1,0
27,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,11,1,0,1,3,1,0,0,2,13,0,1,4,0,0
27,12,2,4,8,1,26,0,2,22,45,0,8,30,0,0
27,13,0,5,14,5,44,0,0,35,44,0,6,29,0,0
27,14,0,9,21,4,49,1,1,61,68,0,6,29,1,0
27,15,2,3,8,2,30,0,1,19,48,0,6,18,1,0
27,16,0,3,4,0,29,0,2,26,39,1,3,22,0,0
27,17,0,0,3,0,4,0,0,9,15,0,2,8,0,0
27,18,0,0,1,0,2,0,0,2,0,0,0,4,0,0
27,19,0,3,13,5,34,0,1,49,27,0,8,22,0,0
27,20,0,0,11,4,48,2,1,54,25,0,5,38,0,0
27,21,0,3,23,5,53,1,2,93,35,0,12,47,0,0
27,22,2,1,6,2,21,0,0,42,56,0,0,41,0,0
27,23,2,3,6,2,5,0,5,29,22,0,2,44,0,1
27,24,0,3,11,2,8,0,2,19,71,0,3,91,0,0
27,25,0,0,2,3,1,0,0,12,125,0,0,109,0,0
27,26,1,0,3,1,2,0,0,15,80,0,1,73,0,0
27,27,1,0,2,1,1,1,0,14,53,0,0,47,0,0
27,28,1,0,5,1,12,0,0,9,74,0,5,45,0,0
27,29,2,7,4,3,11,0,0,9,30,0,2,39,1,0
27,30,0,0,4,0,3,1,0,5,44,0,1,90,0,0
27,31,0,0,1,1,4,0,0,1,9,0,0,2,0,0
27,32,1,3,0,2,2,0,0,5,17,1,0,8,0,0
27,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,34,3,3,11,2,14,1,2,14,33,0,7,24,0,1
27,35,7,4,5,5,20,1,3,12,59,0,6,30,0,0
27,36,2,2,9,1,11,0,1,17,30,1,1,48,0,0
27,37,0,1,62,4,16,0,0,41,46,1,5,19,0,1
27,38,0,10,36,1,12,0,0,17,54,0,5,18,0,0
27,39,2,4,25,7,23,0,1,12,60,0,1,11,1,1
27,40,1,3,18,4,11,1,0,11,46,0,1,18,2,1
27,41,2,0,3,2,13,0,1,7,48,0,1,7,0,0
27,42,1,1,14,1,16,0,2,23,46,0,4,55,0,0
27,43,0,0,5,3,8,0,1,12,23,0,0,48,0,0
27,44,0,3,12,0,7,0,0,29,30,0,5,24,1,0
27,45,1,5,7,2,31,0,0,34,43,0,3,19,0,1
27,46,1,1,5,0,2,0,1,10,35,0,2,15,0,0
27,47,5,4,7,3,12,0,3,22,21,0,4,35,0,0
27,48,2,1,9,0,14,1,3,15,27,0,6,24,0,0
27,49,1,0,7,1,17,1,0,25,30,0,2,19,0,2
27,50,3,1,8,2,13,1,0,23,25,1,4,39,1,0
27,51,0,0,9,2,3,1,0,18,13,0,3,23,0,4
27,52,2,2,12,2,25,0,3,30,24,0,3,36,0,0
27,53,6,0,10,1,8,0,0,15,19,0,4,25,1,0
27,54,4,5,8,1,14,0,4,13,24,0,6,32,1,0
27,55,0,1,9,6,17,0,0,19,32,0,5,26,0,0
27,56,2,3,13,3,14,1,0,5,51,2,5,9,1,0
27,57,0,0,3,1,6,0,1,13,9,0,1,8,0,0
27,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,59,0,3,2,1,6,0,1,13,14,0,2,39,0,0
27,60,0,1,4,2,4,0,3,8,12,0,5,25,0,0
27,61,3,4,3,1,19,0,0,12,20,0,4,19,0,0
27,62,0,1,7,1,10,1,3,11,19,0,1,29,1,0
27,63,1,3,0,0,14,0,0,16,13,0,1,23,0,0
27,64,0,7,5,0,11,0,0,9,12,0,3,16,0,2
27,65,0,3,6,0,8,0,1,13,10,0,1,27,0,0
27,66,0,1,5,2,7,1,8,13,15,0,4,41,0,0
27,67,0,2,5,2,13,1,1,14,15,0,1,26,0,0
27,68,1,4,7,1,10,1,3,15,17,0,3,26,0,0
27,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,79,1,1,3,1,10,0,4,8,20,0,2,40,0,1
27,80,0,4,4,0,12,0,0,13,29,0,4,14,0,0
