ad,ed,silwa,mateo,writein_rep,foldenauer,morales,stringer,mcguire,wiley,prince,chang,garcia,adams,wright jr,donovan,yang,taylor,writein_dem
54,68,0,0,0,1,2,3,4,15,0,0,1,64,1,0,12,0,0
54,69,0,0,0,1,7,6,4,9,0,0,8,64,0,2,5,1,0
54,71,0,0,0,1,2,1,2,11,0,0,2,47,0,0,4,0,0
54,74,0,0,0,0,4,4,2,30,2,1,5,15,0,3,6,1,0
54,79,0,0,0,1,3,4,1,10,0,1,4,37,0,0,0,2,0
54,87,0,0,0,0,5,4,0,30,2,0,3,28,0,0,1,2,1
54,89,0,0,0,0,0,4,0,20,0,0,6,35,0,1,5,0,0
55,6,0,0,0,2,10,1,4,12,1,0,4,79,0,2,6,1,0
55,9,0,0,0,1,7,0,4,71,1,0,11,80,1,3,2,0,0
55,11,0,0,0,1,2,5,2,50,2,1,11,117,1,4,2,0,1
55,12,0,0,0,0,5,7,3,66,3,1,12,95,0,0,7,1,0
55,17,0,0,0,1,7,2,1,32,0,0,5,45,1,1,1,1,0
55,20,0,0,0,1,7,4,4,58,3,0,9,130,1,7,5,0,0
55,22,0,0,0,2,1,2,0,12,0,0,3,87,0,1,3,0,0
55,27,0,0,0,1,1,3,0,18,0,1,3,55,0,0,5,0,0
55,28,0,0,0,0,0,1,2,12,0,0,0,33,0,0,5,1,0
55,30,0,0,0,0,2,4,3,41,1,0,11,57,0,2,2,0,0
55,35,0,0,0,2,2,2,5,14,0,0,5,93,2,3,2,0,0
55,41,0,0,0,2,2,1,2,7,0,0,5,31,0,0,2,0,0
55,46,0,0,0,2,2,4,2,16,0,0,8,92,2,1,6,1,0
55,47,0,0,0,1,1,1,0,10,0,0,1,43,0,0,4,0,0
55,49,0,0,0,1,1,4,2,18,0,2,6,65,0,0,4,0,0
55,57,0,0,0,1,1,1,0,13,0,0,2,72,2,1,6,1,0
55,62,0,0,0,2,6,5,1,6,0,0,2,80,1,1,4,0,1
55,63,0,0,0,0,0,1,1,7,0,0,2,54,0,0,2,0,0
55,64,0,0,0,1,5,2,2,8,0,0,1,120,1,2,5,1,0
55,68,0,0,0,2,3,0,1,12,0,0,2,55,1,0,2,1,0
55,69,0,0,0,0,4,1,0,11,0,1,3,90,0,1,1,0,0
55,74,0,0,0,2,1,4,1,10,0,0,0,66,1,4,3,0,0
55,75,0,0,0,4,4,3,5,9,0,0,6,86,0,1,8,0,0
55,76,0,0,0,0,1,1,2,20,0,0,4,126,0,3,2,1,2
55,79,0,0,0,2,1,2,2,10,0,0,3,72,0,4,0,0,0
55,80,0,0,0,0,3,1,1,19,0,1,5,88,3,2,3,1,0
55,81,0,0,0,2,0,1,1,25,1,1,7,101,2,3,2,0,1
55,86,0,0,0,1,2,0,3,21,0,0,5,104,2,0,3,0,0
55,87,0,0,0,0,0,3,1,12,1,0,2,81,0,1,2,0,0
55,89,0,0,0,0,1,1,1,19,1,0,3,91,0,1,5,1,0
55,90,0,0,0,0,2,0,2,19,1,0,1,102,2,2,2,1,0
55,92,0,0,0,2,9,3,1,27,0,0,3,109,2,3,3,0,0
55,94,0,0,0,3,0,0,5,21,0,0,3,99,1,2,3,0,0
55,95,0,0,0,2,1,1,1,6,0,0,0,45,0,1,0,0,0
55,97,0,0,0,0,0,1,1,19,0,0,3,106,1,1,4,2,0
55,99,0,0,0,1,1,1,1,23,0,0,6,145,0,6,2,0,0
55,100,0,0,0,1,0,3,1,13,0,0,5,62,0,1,6,0,0
55,101,0,0,0,0,2,1,0,25,0,1,0,69,0,2,7,2,0
55,103,0,0,0,0,6,5,3,16,3,0,4,120,0,2,5,0,0
56,1,0,0,0,1,6,1,1,9,0,0,4,51,0,1,6,0,0
56,3,0,0,0,2,1,1,1,5,0,1,3,56,0,1,5,0,1
