ad,ed,silwa,mateo,writein
36,78,4,1,0
36,79,3,3,0
36,80,4,2,0
36,81,2,2,0
36,82,10,3,1
36,83,8,10,0
37,1,4,3,0
37,2,3,1,0
37,3,2,1,0
37,4,0,0,0
37,5,3,0,0
37,6,2,1,0
37,7,1,0,1
37,8,2,0,0
37,9,0,1,0
37,10,0,2,1
37,11,1,0,0
37,12,0,0,0
37,13,1,0,0
37,14,1,2,0
37,15,0,0,0
37,16,0,0,0
37,17,1,0,0
37,18,4,2,1
37,19,2,1,0
37,20,2,2,0
37,21,5,4,0
37,22,3,1,0
37,23,11,3,1
37,24,2,6,0
37,25,0,0,0
37,26,0,0,0
37,27,4,1,0
37,28,14,4,0
37,29,4,3,0
37,30,13,4,0
37,31,9,1,1
37,32,16,4,0
37,33,10,1,3
37,34,3,1,0
37,35,0,1,0
37,36,6,1,0
37,37,3,0,0
37,38,3,1,0
37,39,8,6,1
37,40,0,0,0
37,41,2,0,0
37,42,6,3,0
37,43,9,5,0
37,44,20,1,0
37,45,20,10,1
37,46,13,2,1
37,47,8,9,0
37,48,14,2,0
37,49,17,4,1
37,50,6,5,1
37,51,0,0,0
37,52,8,1,2
37,53,0,0,0
37,54,3,1,0
37,55,0,0,0
37,56,3,1,0
37,57,1,1,0
37,58,3,2,0
37,59,5,1,0
37,60,0,0,0
37,61,7,4,0
37,62,14,3,0
37,63,9,1,0
37,64,8,2,0
37,65,4,2,1
37,66,0,0,0
37,67,9,2,0
37,68,4,2,0
37,69,0,0,0
37,70,0,0,0
37,71,0,0,0
37,72,0,0,0
37,73,0,0,0
37,74,0,0,0
37,75,7,1,1
37,76,0,0,1
37,77,7,3,1
37,78,7,1,2
37,79,4,3,2
37,80,1,3,0
37,81,1,0,0
37,82,9,3,0
37,83,13,5,1
37,84,13,0,1
37,85,17,3,1
37,86,2,3,0
37,87,1,1,0
37,88,0,0,0
38,1,0,0,0
38,2,0,0,0
38,3,0,0,0
38,4,4,2,0
38,5,3,3,0
38,6,5,1,0
38,7,2,0,0
38,8,6,4,0
38,9,7,2,1
38,10,13,4,1
38,11,0,0,0
38,12,10,4,0
38,13,3,6,0
38,14,16,3,0
38,15,8,2,0
38,16,9,4,2
38,17,20,8,1
38,18,30,11,2
38,19,19,7,1
38,20,2,0,0
38,21,4,0,2
38,22,28,11,1
38,23,6,2,0
38,24,1,2,0
38,25,1,0,1
38,26,5,0,0
38,27,5,1,1
38,28,25,0,3
38,29,3,1,1
38,30,4,0,0
38,31,3,2,0
38,32,7,2,0
38,33,5,2,1
38,34,0,0,0
38,35,0,0,0
38,36,0,1,0
38,37,2,1,1
38,38,0,5,0
38,39,8,1,0
38,40,3,0,0
38,41,7,3,1
38,42,9,3,0
38,43,4,1,0
38,44,4,0,0
38,45,1,1,3
38,46,3,2,0
38,47,7,6,0
38,48,14,4,2
38,49,7,4,0
38,50,7,6,0
38,51,7,4,0
38,52,10,4,0
38,53,3,0,0
38,54,11,4,1
38,55,9,5,0
38,56,8,9,0
38,57,10,9,2
38,58,10,3,0
38,59,12,1,0
38,60,0,0,0
38,61,0,0,0
38,62,2,2,1
38,63,7,1,0
38,64,2,0,0
38,65,8,2,1
38,66,11,1,1
38,67,12,3,0
38,68,0,5,0
38,69,0,4,1
38,70,1,0,1
38,71,12,7,0
39,1,3,1,0
39,2,1,1,0
39,3,4,1,0
39,4,1,0,0
39,5,3,4,1
39,6,5,0,1
39,7,8,2,1
39,8,2,11,0
39,9,2,0,0
39,10,3,0,0
39,11,4,3,1
39,12,3,0,0
39,13,3,3,0
39,14,4,1,0
39,15,0,1,0
39,16,1,1,1
39,17,3,0,0
39,18,4,4,0
39,19,3,3,0
39,20,0,0,0
39,21,1,0,0
39,22,2,0,0
